op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
TRANSPOSE,359,38272.0,0.0,0.0,0.0,0.0,0.054071523,-21,multi_headed_attention/transpose_3
RESHAPE,366,38272.0,0.0,0.0,0.0,0.0,0.054071523,-21,multi_headed_attention/Reshape_3
RESHAPE,376,38272.0,0.0,0.0,0.0,0.0,0.054071523,-21,multi_headed_attention/dense_3/Tensordot/Reshape;multi_headed_attention/Reshape_3
FULLY_CONNECTED,380,76544.0,0.015558905,-0.00015092718,0.046612296,0.0002421481,0.051384974,-7,multi_headed_attention/dense_3/Tensordot/MatMul1
RESHAPE,384,76544.0,0.0,0.0,0.0,0.0,0.051384974,-7,multi_headed_attention/dense_3/Tensordot
ADD,388,76544.0,0.014968783,-0.000405055,0.026305208,0.0002243231,0.051879678,-7,multi_headed_attention/dense_3/BiasAdd
ADD,392,76544.0,0.017895421,1.952732e-06,0.07699541,0.00032025247,0.061968155,-1,add_normalization_1/add
FILL,399,299.0,0.0,0.0,0.0,0.0,0.003921569,-128,add_normalization_1/layer_normalization_1/ones
FILL,403,299.0,0.0,0.0,0.0,0.0,7.843137e-09,0,add_normalization_1/layer_normalization_1/zeros
RESHAPE,409,76544.0,0.0,0.0,0.0,0.0,0.061968155,-1,add_normalization_1/layer_normalization_1/Reshape
TRANSPOSE,413,76544.0,0.0,0.0,0.0,0.0,0.061968155,-1,add_normalization_1/layer_normalization_1/FusedBatchNormV3
MEAN,417,299.0,0.0005285673,-8.779482e-05,0.0033873674,4.4502065e-07,0.0013548987,-4,add_normalization_1/layer_normalization_1/FusedBatchNormV31
SQUARED_DIFFERENCE,421,76544.0,0.06877096,-0.004497975,0.2084587,0.004750057,0.24793755,-128,add_normalization_1/layer_normalization_1/FusedBatchNormV32
MEAN,425,299.0,0.0056631323,0.00060068606,0.012356915,3.427794e-05,0.019338496,-128,add_normalization_1/layer_normalization_1/FusedBatchNormV33
ADD,429,299.0,0.00010459912,-0.0005919426,0.00078328274,3.6416188e-07,0.019342417,-128,add_normalization_1/layer_normalization_1/FusedBatchNormV34
RSQRT,433,299.0,0.001424918,-2.2201024e-05,0.0023253856,2.0406974e-06,0.004689562,-128,add_normalization_1/layer_normalization_1/FusedBatchNormV35
MUL,437,299.0,0.0,0.0,0.0,0.0,0.004689562,-128,add_normalization_1/layer_normalization_1/FusedBatchNormV36
MUL,441,76544.0,0.011687105,-7.0092738e-06,0.022730421,0.00013659942,0.041394144,-3,add_normalization_1/layer_normalization_1/FusedBatchNormV37
MUL,445,299.0,0.0002906586,1.744085e-06,0.0014175354,1.2339187e-07,0.00086065684,-1,add_normalization_1/layer_normalization_1/FusedBatchNormV38
SUB,449,299.0,1.7588967e-09,7.111643e-11,7.3427886e-09,3.528488e-18,0.00086065684,0,add_normalization_1/layer_normalization_1/FusedBatchNormV39
ADD,453,76544.0,0.011926977,0.00014700848,0.0223069,0.00014276656,0.04123104,-2,add_normalization_1/layer_normalization_1/FusedBatchNormV310
TRANSPOSE,457,76544.0,0.0,0.0,0.0,0.0,0.04123104,-2,add_normalization_1/layer_normalization_1/FusedBatchNormV311
RESHAPE,461,76544.0,0.0,0.0,0.0,0.0,0.04123104,-2,add_normalization_1/layer_normalization_1/Reshape_1
MUL,465,76544.0,0.012332569,-3.266654e-05,0.027489683,0.00015209655,0.04378324,0,add_normalization_1/layer_normalization_1/mul_3
ADD,469,76544.0,0.012874095,0.0015512196,0.022481512,0.00016815629,0.04388763,2,add_normalization_1/layer_normalization_1/add
RESHAPE,480,76544.0,0.0,0.0,0.0,0.0,0.04388763,2,positionwise_feed_forward/dense_4/Tensordot/Reshape
FULLY_CONNECTED,484,306176.0,0.025029121,0.0003354773,0.07627407,0.00062658277,0.08100054,8,positionwise_feed_forward/dense_4/Tensordot/MatMul1
RESHAPE,488,306176.0,0.0,0.0,0.0,0.0,0.08100054,8,positionwise_feed_forward/dense_4/Tensordot
ADD,492,306176.0,0.027251197,-0.0033568018,0.0407281,0.00075389736,0.080981925,8,positionwise_feed_forward/dense_4/BiasAdd
MUL,498,306176.0,0.08962017,0.008609688,0.19279669,0.008114343,0.39165163,26,positionwise_feed_forward/GELU/mul_1
ADD,502,306176.0,0.13932775,0.0024530664,0.23112153,0.019418446,0.47263354,23,positionwise_feed_forward/GELU/add
MUL,506,306176.0,3.652629e-07,4.648439e-08,3.2036835e-06,1.3567974e-13,0.37710696,23,positionwise_feed_forward/GELU/mul_2
TANH,510,306176.0,0.0018805645,-0.00031116483,0.0078125,3.6343697e-06,0.0078125,0,positionwise_feed_forward/GELU/Tanh
ADD,514,306176.0,0.0016181255,0.0005895065,0.003921628,2.9727028e-06,0.007843138,-128,positionwise_feed_forward/GELU/add_1
MUL,518,306176.0,0.0,0.0,0.0,0.0,0.040490963,8,positionwise_feed_forward/GELU/mul
MUL,522,306176.0,0.014791021,0.005783711,0.054968216,0.0002524383,0.038340505,-124,positionwise_feed_forward/GELU/mul_3
RESHAPE,533,306176.0,0.0,0.0,0.0,0.0,0.038340505,-124,positionwise_feed_forward/dense_5/Tensordot/Reshape
FULLY_CONNECTED,537,76544.0,0.09528629,0.00039807407,0.21390256,0.009079843,0.3277386,-13,positionwise_feed_forward/dense_5/Tensordot/MatMul1
RESHAPE,541,76544.0,0.0,0.0,0.0,0.0,0.3277386,-13,positionwise_feed_forward/dense_5/Tensordot
ADD,545,76544.0,0.026308397,0.0001279741,0.076507874,0.0006921483,0.3278258,-13,positionwise_feed_forward/dense_5/BiasAdd
ADD,549,76544.0,0.097175285,-0.00013390034,0.16960202,0.009443213,0.3364876,-12,add_normalization_2/add
FILL,556,299.0,0.0,0.0,0.0,0.0,0.003921569,-128,add_normalization_2/layer_normalization_2/ones
FILL,560,299.0,0.0,0.0,0.0,0.0,7.843137e-09,0,add_normalization_2/layer_normalization_2/zeros
RESHAPE,566,76544.0,0.0,0.0,0.0,0.0,0.3364876,-12,add_normalization_2/layer_normalization_2/Reshape
