TS,V,I1,W1,VA1,I2,W2,VA2
1645753070.15,121.14,13.931,1679.0,1688.0,1.266,126.0,153.0
1645753070.25,120.99,13.836,1666.0,1674.0,1.256,125.0,152.0
1645753070.35,120.97,14.007,1686.0,1694.0,1.265,126.0,153.0
1645753070.45,120.98,13.822,1664.0,1672.0,1.254,125.0,152.0
1645753070.55,120.97,13.912,1675.0,1683.0,1.26,125.0,152.0
1645753070.65,120.99,13.818,1664.0,1672.0,1.251,124.0,151.0
1645753070.75,120.99,13.911,1675.0,1683.0,1.254,125.0,152.0
1645753070.85,121.16,13.85,1670.0,1678.0,1.256,125.0,152.0
1645753070.95,120.99,13.928,1677.0,1685.0,1.263,125.0,153.0
1645753071.05,121.0,13.826,1665.0,1673.0,1.253,124.0,152.0
1645753071.15,120.97,13.899,1673.0,1681.0,1.264,126.0,153.0
1645753071.25,120.97,13.844,1667.0,1675.0,1.251,124.0,151.0
1645753071.35,120.96,13.998,1685.0,1693.0,1.27,126.0,154.0
1645753071.45,120.96,13.837,1666.0,1674.0,1.255,124.0,152.0
1645753071.55,121.13,13.926,1679.0,1687.0,1.271,127.0,154.0
1645753071.65,120.97,13.844,1667.0,1675.0,1.255,125.0,152.0
1645753071.75,120.96,13.947,1679.0,1687.0,1.283,128.0,155.0
1645753071.85,120.96,13.816,1663.0,1671.0,1.252,124.0,151.0
1645753071.95,120.96,13.9,1673.0,1681.0,1.256,125.0,152.0
1645753072.05,120.97,13.854,1668.0,1676.0,1.252,124.0,151.0
1645753072.15,120.99,13.908,1674.0,1683.0,1.263,125.0,153.0
1645753072.25,121.01,13.855,1669.0,1677.0,1.251,125.0,151.0
1645753072.35,121.18,13.993,1687.0,1696.0,1.264,126.0,153.0
1645753072.45,121.02,13.837,1667.0,1675.0,1.251,124.0,151.0
1645753072.55,121.01,13.973,1683.0,1691.0,1.262,125.0,153.0
1645753072.65,121.01,13.796,1662.0,1669.0,1.252,125.0,152.0
1645753072.75,121.01,13.919,1676.0,1684.0,1.26,125.0,152.0
1645753072.85,121.01,13.82,1664.0,1672.0,1.252,124.0,151.0
1645753072.95,121.0,13.931,1677.0,1686.0,1.259,125.0,152.0
1645753073.05,121.0,13.823,1665.0,1673.0,1.246,124.0,151.0
1645753073.15,121.16,13.922,1679.0,1687.0,1.259,125.0,153.0
1645753073.25,120.99,13.851,1668.0,1676.0,1.251,124.0,151.0
1645753073.35,120.98,14.02,1688.0,1696.0,1.256,125.0,152.0
1645753073.45,121.01,13.809,1663.0,1671.0,1.256,125.0,152.0
1645753073.55,120.99,13.905,1674.0,1682.0,1.256,125.0,152.0
1645753073.65,120.96,13.881,1671.0,1679.0,1.253,124.0,152.0
1645753073.75,120.96,13.919,1675.0,1684.0,1.258,125.0,152.0
1645753073.85,120.96,13.837,1666.0,1674.0,1.249,124.0,151.0
1645753073.95,121.14,13.934,1680.0,1688.0,1.264,126.0,153.0
1645753074.05,120.97,13.843,1667.0,1675.0,1.257,125.0,152.0
1645753074.15,120.97,13.919,1676.0,1684.0,1.278,127.0,155.0
1645753074.25,120.98,13.838,1666.0,1674.0,1.263,126.0,153.0
1645753074.35,120.97,13.98,1683.0,1691.0,1.276,127.0,154.0
1645753074.45,120.99,13.861,1669.0,1677.0,1.261,125.0,153.0
1645753074.55,120.97,13.931,1677.0,1685.0,1.276,127.0,154.0
1645753074.65,120.97,13.815,1663.0,1671.0,1.265,125.0,153.0
1645753074.75,121.15,13.936,1680.0,1688.0,1.272,127.0,154.0
1645753074.85,120.97,13.841,1666.0,1674.0,1.258,125.0,152.0
1645753074.95,120.99,14.013,1687.0,1695.0,1.277,127.0,155.0
1645753075.05,120.95,14.23,1713.0,1721.0,1.264,125.0,153.0
1645753075.15,120.99,13.9,1674.0,1682.0,1.272,127.0,154.0
1645753075.25,120.98,13.87,1670.0,1678.0,1.267,126.0,153.0
1645753075.35,120.99,14.018,1688.0,1696.0,1.272,126.0,154.0
1645753075.45,121.0,13.826,1665.0,1673.0,1.253,124.0,152.0
1645753075.55,120.99,13.905,1674.0,1682.0,1.26,125.0,152.0
1645753075.65,121.16,13.865,1672.0,1680.0,1.254,125.0,152.0
1645753075.75,120.98,13.911,1675.0,1683.0,1.258,125.0,152.0
1645753075.85,121.0,13.84,1667.0,1675.0,1.251,124.0,151.0
1645753075.95,120.98,13.937,1678.0,1686.0,1.265,125.0,153.0
1645753076.05,120.96,13.825,1664.0,1672.0,1.262,126.0,153.0
1645753076.15,120.98,13.921,1676.0,1684.0,1.259,125.0,152.0
1645753076.25,120.99,13.832,1666.0,1674.0,1.253,124.0,152.0
1645753076.35,120.96,13.964,1681.0,1689.0,1.263,125.0,153.0
1645753076.45,120.97,13.859,1669.0,1677.0,1.25,125.0,151.0
1645753076.55,121.15,13.946,1681.0,1689.0,1.26,125.0,153.0
1645753076.65,120.97,13.834,1666.0,1674.0,1.25,124.0,151.0
1645753076.75,120.97,13.891,1672.0,1680.0,1.284,128.0,155.0
1645753076.85,120.98,13.863,1669.0,1677.0,1.248,124.0,151.0
1645753076.95,120.98,13.956,1680.0,1688.0,1.258,125.0,152.0
1645753077.05,121.0,13.824,1665.0,1673.0,1.247,124.0,151.0
1645753077.15,120.99,13.922,1676.0,1684.0,1.259,125.0,152.0
1645753077.26,121.0,13.863,1669.0,1677.0,1.25,124.0,151.0
1645753077.35,120.99,14.029,1689.0,1697.0,1.262,126.0,153.0
1645753077.45,121.18,13.849,1670.0,1678.0,1.255,125.0,152.0
1645753077.55,120.99,13.959,1681.0,1689.0,1.258,125.0,152.0
1645753077.65,121.0,13.816,1664.0,1672.0,1.253,124.0,152.0
1645753077.76,120.99,13.959,1681.0,1689.0,1.251,124.0,151.0
1645753077.85,121.0,13.821,1664.0,1672.0,1.25,125.0,151.0
1645753077.96,120.99,13.955,1680.0,1688.0,1.262,125.0,153.0
1645753078.05,121.0,13.832,1666.0,1674.0,1.255,125.0,152.0
1645753078.15,120.99,13.937,1678.0,1686.0,1.26,125.0,152.0
1645753078.26,121.0,13.839,1666.0,1674.0,1.249,124.0,151.0
1645753078.35,121.16,14.023,1691.0,1699.0,1.264,126.0,153.0
1645753078.46,121.01,13.836,1666.0,1674.0,1.251,124.0,151.0
1645753078.55,121.0,13.926,1677.0,1685.0,1.257,125.0,152.0
1645753078.65,121.02,13.839,1667.0,1675.0,1.254,125.0,152.0
1645753078.76,121.0,13.931,1678.0,1686.0,1.267,126.0,153.0
1645753078.85,121.0,13.821,1664.0,1672.0,1.245,124.0,151.0
1645753078.96,120.98,14.01,1687.0,1695.0,1.26,125.0,152.0
1645753079.05,121.01,13.853,1668.0,1676.0,1.252,124.0,151.0
1645753079.16,120.98,14.143,1703.0,1711.0,1.256,125.0,152.0
1645753079.25,121.17,13.908,1677.0,1685.0,1.252,125.0,152.0
1645753079.35,121.0,13.976,1683.0,1691.0,1.259,125.0,152.0
1645753079.46,121.02,13.84,1667.0,1675.0,1.242,123.0,150.0
1645753079.55,121.02,13.939,1679.0,1687.0,1.257,125.0,152.0
1645753079.66,121.03,13.843,1667.0,1675.0,1.25,125.0,151.0
1645753079.75,121.01,13.916,1676.0,1684.0,1.258,125.0,152.0
1645753079.86,121.03,13.843,1667.0,1675.0,1.248,124.0,151.0
1645753079.96,121.01,13.994,1685.0,1693.0,1.258,125.0,152.0
1645753080.05,120.96,14.227,1713.0,1721.0,1.257,125.0,152.0
1645753080.16,121.16,13.932,1680.0,1688.0,1.267,126.0,154.0
1645753080.25,120.99,13.856,1668.0,1676.0,1.265,126.0,153.0
1645753080.36,120.97,13.989,1684.0,1692.0,1.273,126.0,154.0
1645753080.46,121.0,13.865,1669.0,1678.0,1.264,125.0,153.0
1645753080.56,120.99,13.923,1676.0,1685.0,1.271,126.0,154.0
1645753080.66,120.99,13.831,1665.0,1673.0,1.261,125.0,153.0
1645753080.75,120.98,13.925,1676.0,1685.0,1.27,126.0,154.0
1645753080.86,121.0,13.84,1667.0,1675.0,1.265,125.0,153.0
1645753080.96,121.01,13.952,1680.0,1688.0,1.274,126.0,154.0
1645753081.06,121.19,13.84,1669.0,1677.0,1.268,127.0,154.0
1645753081.16,121.0,13.949,1680.0,1688.0,1.271,126.0,154.0
1645753081.26,121.01,13.823,1665.0,1673.0,1.268,126.0,153.0
1645753081.36,120.99,14.021,1688.0,1696.0,1.289,128.0,156.0
1645753081.45,121.01,13.835,1666.0,1674.0,1.255,125.0,152.0
1645753081.56,121.0,13.891,1673.0,1681.0,1.266,126.0,153.0
1645753081.66,121.0,13.863,1669.0,1677.0,1.249,124.0,151.0
1645753081.76,121.0,13.893,1673.0,1681.0,1.262,125.0,153.0
1645753081.86,120.98,13.894,1673.0,1681.0,1.246,123.0,151.0
1645753081.96,120.97,13.908,1674.0,1682.0,1.256,125.0,152.0
1645753082.06,121.16,13.875,1673.0,1681.0,1.25,125.0,151.0
1645753082.16,120.98,13.906,1674.0,1682.0,1.252,124.0,151.0
1645753082.26,121.0,13.855,1668.0,1677.0,1.249,124.0,151.0
1645753082.36,121.01,13.98,1683.0,1692.0,1.258,125.0,152.0
1645753082.46,121.02,13.861,1669.0,1677.0,1.255,125.0,152.0
1645753082.56,121.0,13.948,1679.0,1688.0,1.261,126.0,153.0
1645753082.66,121.03,13.832,1666.0,1674.0,1.253,124.0,152.0
1645753082.76,121.03,13.916,1676.0,1684.0,1.257,124.0,152.0
1645753082.86,121.03,13.835,1666.0,1674.0,1.25,124.0,151.0
1645753082.96,121.2,13.962,1684.0,1692.0,1.26,126.0,153.0
1645753083.06,120.96,13.802,1662.0,1670.0,1.245,124.0,151.0
1645753083.16,120.88,13.908,1673.0,1681.0,1.256,125.0,152.0
1645753083.26,120.95,13.816,1663.0,1671.0,1.252,124.0,151.0
1645753083.36,120.96,13.99,1684.0,1692.0,1.261,125.0,153.0
1645753083.46,120.99,13.823,1664.0,1672.0,1.25,124.0,151.0
1645753083.56,120.99,13.932,1677.0,1686.0,1.258,125.0,152.0
1645753083.66,120.99,13.85,1668.0,1676.0,1.252,124.0,151.0
1645753083.76,120.98,13.935,1678.0,1686.0,1.257,124.0,152.0
1645753083.86,120.99,13.835,1666.0,1674.0,1.25,124.0,151.0
1645753083.96,120.98,13.919,1676.0,1684.0,1.262,126.0,153.0
1645753084.06,121.16,13.862,1671.0,1679.0,1.253,125.0,152.0
1645753084.16,120.98,13.944,1679.0,1687.0,1.259,125.0,152.0
1645753084.26,120.99,13.807,1663.0,1671.0,1.249,124.0,151.0
1645753084.36,120.98,14.009,1687.0,1695.0,1.256,125.0,152.0
1645753084.46,121.01,13.809,1663.0,1671.0,1.25,125.0,151.0
1645753084.56,120.98,13.925,1677.0,1685.0,1.255,125.0,152.0
1645753084.66,121.0,13.849,1668.0,1676.0,1.245,124.0,151.0
1645753084.76,120.98,13.933,1677.0,1686.0,1.256,125.0,152.0
1645753084.86,120.99,13.819,1664.0,1672.0,1.246,124.0,151.0
1645753084.96,120.98,14.014,1687.0,1695.0,1.257,125.0,152.0
1645753085.06,121.12,14.243,1717.0,1725.0,1.253,125.0,152.0
1645753085.16,120.99,13.909,1675.0,1683.0,1.259,125.0,152.0
1645753085.26,120.98,13.819,1664.0,1672.0,1.254,124.0,152.0
1645753085.36,120.97,13.976,1682.0,1691.0,1.258,125.0,152.0
1645753085.46,120.99,13.865,1669.0,1677.0,1.25,125.0,151.0
1645753085.56,120.99,13.896,1673.0,1681.0,1.259,125.0,152.0
1645753085.66,120.99,13.854,1668.0,1676.0,1.253,124.0,152.0
1645753085.76,120.98,13.925,1677.0,1685.0,1.254,124.0,152.0
1645753085.86,120.99,13.837,1666.0,1674.0,1.252,124.0,151.0
1645753085.96,121.16,13.961,1683.0,1692.0,1.267,126.0,153.0
1645753086.06,120.99,13.813,1663.0,1671.0,1.259,125.0,152.0
1645753086.16,120.98,13.938,1678.0,1686.0,1.269,126.0,154.0
1645753086.26,120.99,13.815,1664.0,1672.0,1.265,125.0,153.0
1645753086.36,120.99,13.985,1684.0,1692.0,1.274,126.0,154.0
1645753086.46,120.99,13.847,1667.0,1675.0,1.261,126.0,153.0
1645753086.56,121.0,13.901,1674.0,1682.0,1.265,126.0,153.0
1645753086.66,121.01,13.843,1667.0,1675.0,1.266,125.0,153.0
1645753086.76,121.0,13.919,1676.0,1684.0,1.271,126.0,154.0
1645753086.86,121.01,13.831,1666.0,1674.0,1.262,125.0,153.0
1645753086.96,121.15,13.973,1685.0,1693.0,1.272,127.0,154.0
1645753087.06,121.0,13.813,1663.0,1671.0,1.268,126.0,153.0
1645753087.16,121.0,13.945,1679.0,1687.0,1.276,127.0,154.0
1645753087.26,121.0,13.816,1664.0,1672.0,1.265,126.0,153.0
1645753087.36,120.99,13.987,1684.0,1692.0,1.272,126.0,154.0
1645753087.46,121.0,13.825,1665.0,1673.0,1.255,125.0,152.0
1645753087.56,121.0,13.888,1672.0,1680.0,1.258,125.0,152.0
1645753087.66,121.0,13.842,1667.0,1675.0,1.259,125.0,152.0
1645753087.76,120.98,13.931,1677.0,1685.0,1.262,125.0,153.0
1645753087.86,120.99,13.819,1664.0,1672.0,1.254,125.0,152.0
1645753087.96,121.16,13.977,1685.0,1693.0,1.262,126.0,153.0
1645753088.06,121.0,13.813,1663.0,1671.0,1.255,124.0,152.0
1645753088.16,120.99,13.916,1676.0,1684.0,1.26,125.0,152.0
1645753088.26,121.0,13.822,1664.0,1672.0,1.245,124.0,151.0
1645753088.36,120.98,14.002,1686.0,1694.0,1.256,125.0,152.0
1645753088.46,120.99,13.838,1666.0,1674.0,1.251,125.0,151.0
1645753088.56,120.98,13.948,1679.0,1687.0,1.256,125.0,152.0
1645753088.66,120.98,13.823,1664.0,1672.0,1.253,124.0,152.0
1645753088.76,120.96,13.941,1678.0,1686.0,1.259,125.0,152.0
1645753088.86,120.98,13.811,1663.0,1671.0,1.25,124.0,151.0
1645753088.96,120.97,13.951,1679.0,1688.0,1.261,125.0,153.0
1645753089.06,121.11,13.849,1669.0,1677.0,1.248,125.0,151.0
1645753089.16,120.93,13.932,1677.0,1685.0,1.258,125.0,152.0
1645753089.26,120.95,13.804,1662.0,1670.0,1.253,124.0,152.0
1645753089.36,120.95,13.984,1683.0,1691.0,1.257,125.0,152.0
1645753089.46,120.95,13.848,1667.0,1675.0,1.244,124.0,150.0
1645753089.56,120.95,13.916,1675.0,1683.0,1.256,125.0,152.0
1645753089.66,120.96,13.811,1663.0,1670.0,1.251,124.0,151.0
1645753089.76,120.95,13.917,1675.0,1683.0,1.258,125.0,152.0
1645753089.86,120.95,13.831,1665.0,1673.0,1.251,124.0,151.0
1645753089.96,120.91,14.057,1691.0,1700.0,1.256,125.0,152.0
1645753090.06,120.91,14.186,1707.0,1715.0,1.253,125.0,151.0
1645753090.16,121.09,13.967,1683.0,1691.0,1.258,125.0,152.0
1645753090.26,120.94,13.836,1665.0,1673.0,1.251,124.0,151.0
1645753090.36,120.94,14.006,1686.0,1694.0,1.262,125.0,153.0
1645753090.46,120.96,13.854,1668.0,1676.0,1.247,124.0,151.0
1645753090.56,120.97,13.926,1677.0,1685.0,1.261,125.0,152.0
1645753090.66,120.98,13.85,1667.0,1676.0,1.247,124.0,151.0
1645753090.76,120.98,13.916,1675.0,1684.0,1.257,125.0,152.0
1645753090.86,120.99,13.84,1666.0,1674.0,1.252,124.0,151.0
1645753090.96,120.98,13.927,1677.0,1685.0,1.264,125.0,153.0
1645753091.06,120.99,13.854,1668.0,1676.0,1.255,124.0,152.0
1645753091.16,120.99,13.902,1674.0,1682.0,1.258,125.0,152.0
1645753091.26,120.99,13.864,1669.0,1677.0,1.257,125.0,152.0
1645753091.36,121.15,13.984,1686.0,1694.0,1.256,125.0,152.0
1645753091.46,120.98,13.838,1666.0,1674.0,1.25,124.0,151.0
1645753091.56,120.99,13.944,1679.0,1687.0,1.259,125.0,152.0
1645753091.66,121.0,13.848,1668.0,1676.0,1.251,124.0,151.0
1645753091.76,120.98,13.937,1678.0,1686.0,1.254,125.0,152.0
1645753091.86,120.98,13.854,1668.0,1676.0,1.247,124.0,151.0
1645753091.96,120.98,13.949,1679.0,1688.0,1.26,125.0,152.0
1645753092.06,121.01,13.841,1667.0,1675.0,1.257,125.0,152.0
1645753092.16,121.0,13.898,1673.0,1682.0,1.272,126.0,154.0
1645753092.26,121.0,13.86,1669.0,1677.0,1.266,125.0,153.0
1645753092.36,120.99,14.006,1686.0,1694.0,1.271,126.0,154.0
1645753092.46,121.0,13.818,1664.0,1672.0,1.271,126.0,154.0
1645753092.56,121.16,13.946,1681.0,1690.0,1.27,126.0,154.0
1645753092.66,120.99,13.852,1668.0,1676.0,1.267,126.0,153.0
1645753092.76,120.99,13.899,1674.0,1682.0,1.273,126.0,154.0
1645753092.86,120.99,13.877,1671.0,1679.0,1.269,126.0,154.0
1645753092.96,121.0,13.912,1675.0,1683.0,1.276,127.0,154.0
1645753093.06,121.01,13.841,1667.0,1675.0,1.274,127.0,154.0
1645753093.16,121.01,13.911,1675.0,1683.0,1.268,126.0,153.0
1645753093.26,121.01,13.861,1669.0,1677.0,1.26,125.0,152.0
1645753093.36,121.0,13.976,1683.0,1691.0,1.272,126.0,154.0
1645753093.46,120.99,13.83,1665.0,1673.0,1.26,125.0,152.0
1645753093.56,120.99,13.933,1678.0,1686.0,1.266,125.0,153.0
1645753093.66,120.99,13.821,1664.0,1672.0,1.251,124.0,151.0
1645753093.76,120.98,13.923,1676.0,1684.0,1.253,125.0,152.0
1645753093.86,121.16,13.868,1672.0,1680.0,1.256,125.0,152.0
1645753093.96,120.99,13.911,1675.0,1683.0,1.254,124.0,152.0
1645753094.06,121.0,13.854,1668.0,1676.0,1.258,125.0,152.0
1645753094.16,120.99,13.947,1679.0,1687.0,1.258,125.0,152.0
1645753094.26,121.0,13.831,1666.0,1674.0,1.249,124.0,151.0
1645753094.36,120.99,14.012,1687.0,1695.0,1.253,124.0,152.0
1645753094.46,121.0,13.83,1666.0,1673.0,1.249,124.0,151.0
1645753094.56,121.01,13.912,1675.0,1683.0,1.253,125.0,152.0
1645753094.66,121.01,13.863,1670.0,1678.0,1.249,124.0,151.0
1645753094.76,121.02,13.901,1674.0,1682.0,1.253,125.0,152.0
1645753094.86,121.03,13.863,1670.0,1678.0,1.257,125.0,152.0
1645753094.96,121.03,13.993,1685.0,1693.0,1.256,124.0,152.0
1645753095.06,120.99,14.247,1715.0,1724.0,1.252,124.0,151.0
1645753095.16,121.02,13.935,1678.0,1686.0,1.255,125.0,152.0
1645753095.26,121.2,13.849,1671.0,1679.0,1.248,125.0,151.0
1645753095.36,121.01,13.969,1682.0,1690.0,1.255,125.0,152.0
1645753095.46,121.04,13.856,1669.0,1677.0,1.257,125.0,152.0
1645753095.56,121.04,13.957,1681.0,1689.0,1.265,126.0,153.0
1645753095.66,121.04,13.837,1667.0,1675.0,1.254,124.0,152.0
1645753095.76,121.03,13.92,1677.0,1685.0,1.255,124.0,152.0
1645753095.86,121.04,13.853,1669.0,1677.0,1.256,125.0,152.0
1645753095.96,121.04,13.912,1676.0,1684.0,1.259,125.0,152.0
1645753096.06,121.04,13.889,1673.0,1681.0,1.254,125.0,152.0
1645753096.16,121.05,13.907,1675.0,1683.0,1.258,125.0,152.0
1645753096.26,121.05,13.867,1670.0,1679.0,1.254,125.0,152.0
1645753096.36,121.06,13.922,1677.0,1685.0,1.258,125.0,152.0
1645753096.46,121.06,13.862,1670.0,1678.0,1.25,124.0,151.0
1645753096.56,121.05,13.918,1677.0,1685.0,1.249,124.0,151.0
1645753096.67,121.05,13.844,1668.0,1676.0,1.249,125.0,151.0
1645753096.76,121.21,13.911,1678.0,1686.0,1.253,125.0,152.0
1645753096.86,121.03,13.869,1671.0,1679.0,1.248,124.0,151.0
1645753096.96,121.02,13.898,1674.0,1682.0,1.26,125.0,153.0
1645753097.06,121.03,13.836,1667.0,1675.0,1.248,124.0,151.0
1645753097.17,121.02,13.916,1676.0,1684.0,1.251,124.0,151.0
1645753097.26,121.02,13.849,1668.0,1676.0,1.25,124.0,151.0
1645753097.37,121.01,13.952,1680.0,1688.0,1.256,125.0,152.0
1645753097.46,121.01,13.837,1667.0,1674.0,1.243,124.0,150.0
1645753097.56,121.01,13.926,1677.0,1685.0,1.257,125.0,152.0
1645753097.66,121.01,13.839,1667.0,1675.0,1.253,124.0,152.0
1645753097.76,121.01,13.936,1678.0,1687.0,1.255,125.0,152.0
1645753097.87,121.04,13.821,1665.0,1673.0,1.245,124.0,151.0
1645753097.96,121.03,13.929,1678.0,1686.0,1.258,125.0,152.0
1645753098.06,121.21,13.848,1670.0,1678.0,1.262,126.0,153.0
1645753098.16,121.03,13.932,1678.0,1686.0,1.266,126.0,153.0
1645753098.26,121.03,13.858,1669.0,1677.0,1.264,125.0,153.0
1645753098.37,121.03,13.977,1683.0,1692.0,1.27,126.0,154.0
1645753098.46,121.04,13.833,1666.0,1674.0,1.266,126.0,153.0
1645753098.57,121.01,13.914,1676.0,1684.0,1.27,126.0,154.0
1645753098.66,121.03,13.849,1668.0,1676.0,1.275,127.0,154.0
1645753098.77,121.01,13.886,1672.0,1680.0,1.277,127.0,155.0
1645753098.87,121.03,13.847,1668.0,1676.0,1.251,124.0,151.0
1645753098.96,121.04,13.924,1677.0,1685.0,1.254,124.0,152.0
1645753099.07,121.05,13.853,1669.0,1677.0,1.246,124.0,151.0
1645753099.16,121.04,13.932,1678.0,1686.0,1.245,124.0,151.0
1645753099.27,121.05,13.818,1665.0,1673.0,1.241,124.0,150.0
1645753099.37,121.21,13.958,1684.0,1692.0,1.242,124.0,150.0
1645753099.46,121.04,13.863,1670.0,1678.0,1.226,122.0,148.0
1645753099.57,121.03,13.911,1675.0,1684.0,1.235,123.0,149.0
1645753099.66,121.04,13.835,1667.0,1675.0,1.223,122.0,148.0
1645753099.77,121.03,13.905,1675.0,1683.0,1.227,122.0,149.0
1645753099.87,121.04,13.87,1671.0,1679.0,1.229,122.0,149.0
1645753099.97,121.02,13.988,1684.0,1693.0,1.232,123.0,149.0
1645753100.07,120.98,14.218,1712.0,1720.0,1.226,122.0,148.0
1645753100.17,121.02,13.968,1682.0,1690.0,1.236,123.0,150.0
1645753100.27,121.01,13.888,1672.0,1681.0,1.219,121.0,147.0
1645753100.37,121.0,13.974,1682.0,1691.0,1.229,122.0,149.0
1645753100.47,121.02,13.868,1670.0,1678.0,1.223,122.0,148.0
1645753100.57,121.01,13.945,1679.0,1687.0,1.232,123.0,149.0
1645753100.67,121.19,13.855,1671.0,1679.0,1.229,123.0,149.0
1645753100.77,121.01,13.923,1677.0,1685.0,1.24,123.0,150.0
1645753100.87,121.02,13.83,1666.0,1674.0,1.231,122.0,149.0
1645753100.97,121.01,13.919,1676.0,1684.0,1.236,123.0,150.0
1645753101.07,121.03,13.849,1668.0,1676.0,1.223,121.0,148.0
1645753101.17,121.01,13.935,1678.0,1686.0,1.233,123.0,149.0
1645753101.27,121.01,13.843,1667.0,1675.0,1.222,122.0,148.0
1645753101.37,121.01,13.962,1681.0,1690.0,1.231,123.0,149.0
1645753101.47,121.01,13.852,1668.0,1676.0,1.229,122.0,149.0
1645753101.57,121.0,13.949,1680.0,1688.0,1.227,122.0,148.0
1645753101.67,121.02,13.815,1664.0,1672.0,1.219,121.0,148.0
1645753101.77,121.01,13.924,1677.0,1685.0,1.226,122.0,148.0
1645753101.87,121.01,13.84,1667.0,1675.0,1.223,122.0,148.0
1645753101.97,121.17,13.975,1685.0,1693.0,1.228,122.0,149.0
1645753102.07,121.02,13.837,1666.0,1674.0,1.227,122.0,149.0
1645753102.17,121.01,13.927,1677.0,1685.0,1.233,123.0,149.0
1645753102.27,121.02,13.852,1668.0,1676.0,1.236,123.0,150.0
1645753102.37,121.02,14.022,1689.0,1697.0,1.24,123.0,150.0
1645753102.47,121.03,13.787,1661.0,1669.0,1.229,122.0,149.0
1645753102.57,121.02,13.901,1674.0,1682.0,1.228,123.0,149.0
1645753102.67,121.01,13.877,1671.0,1679.0,1.22,121.0,148.0
1645753102.77,121.01,13.918,1676.0,1684.0,1.223,122.0,148.0
1645753102.87,121.03,13.814,1664.0,1672.0,1.22,121.0,148.0
1645753102.97,121.01,13.945,1679.0,1687.0,1.225,122.0,148.0
1645753103.07,121.02,13.854,1669.0,1677.0,1.224,122.0,148.0
1645753103.17,121.02,13.922,1677.0,1685.0,1.224,122.0,148.0
1645753103.27,121.01,13.844,1667.0,1675.0,1.229,123.0,149.0
1645753103.37,121.18,14.015,1690.0,1698.0,1.227,122.0,149.0
1645753103.47,121.01,13.844,1667.0,1675.0,1.226,122.0,148.0
1645753103.57,121.03,13.909,1675.0,1683.0,1.24,123.0,150.0
1645753103.67,121.02,13.837,1667.0,1675.0,1.227,122.0,148.0
1645753103.77,121.02,13.901,1674.0,1682.0,1.239,122.0,150.0
1645753103.87,121.03,13.849,1668.0,1676.0,1.232,122.0,149.0
1645753103.97,121.02,13.92,1676.0,1685.0,1.231,123.0,149.0
1645753104.07,121.04,13.871,1671.0,1679.0,1.227,123.0,149.0
1645753104.17,121.03,13.911,1676.0,1684.0,1.24,123.0,150.0
1645753104.27,121.04,13.842,1667.0,1675.0,1.245,124.0,151.0
1645753104.37,121.04,14.004,1687.0,1695.0,1.247,124.0,151.0
1645753104.47,121.04,13.832,1666.0,1674.0,1.24,123.0,150.0
1645753104.57,121.03,13.902,1675.0,1683.0,1.245,124.0,151.0
1645753104.67,121.04,13.838,1667.0,1675.0,1.242,123.0,150.0
1645753104.77,121.02,13.923,1677.0,1685.0,1.244,124.0,151.0
1645753104.87,121.04,13.843,1667.0,1676.0,1.24,124.0,150.0
1645753104.97,121.2,13.99,1687.0,1696.0,1.249,125.0,151.0
1645753105.07,121.0,14.225,1713.0,1721.0,1.241,123.0,150.0
1645753105.17,121.02,13.981,1684.0,1692.0,1.24,123.0,150.0
1645753105.27,121.03,13.839,1667.0,1675.0,1.239,123.0,150.0
1645753105.37,121.01,14.034,1690.0,1698.0,1.239,123.0,150.0
1645753105.47,121.05,13.834,1667.0,1675.0,1.233,122.0,149.0
1645753105.57,121.03,13.923,1677.0,1685.0,1.228,122.0,149.0
1645753105.67,121.04,13.833,1666.0,1674.0,1.224,122.0,148.0
1645753105.77,121.02,13.928,1677.0,1686.0,1.23,123.0,149.0
1645753105.87,121.03,13.829,1666.0,1674.0,1.225,122.0,148.0
1645753105.97,121.02,13.941,1679.0,1687.0,1.231,122.0,149.0
1645753106.07,121.03,13.821,1665.0,1673.0,1.23,122.0,149.0
1645753106.17,121.03,13.92,1677.0,1685.0,1.227,122.0,149.0
1645753106.27,121.04,13.86,1670.0,1678.0,1.218,121.0,147.0
1645753106.37,121.03,13.984,1684.0,1692.0,1.231,122.0,149.0
1645753106.47,121.03,13.823,1665.0,1673.0,1.226,122.0,148.0
1645753106.57,121.03,13.895,1674.0,1682.0,1.226,122.0,148.0
1645753106.67,121.19,13.869,1673.0,1681.0,1.222,122.0,148.0
1645753106.77,121.03,13.916,1676.0,1684.0,1.225,122.0,148.0
1645753106.87,121.06,13.839,1667.0,1675.0,1.223,122.0,148.0
1645753106.97,121.05,13.919,1677.0,1685.0,1.23,122.0,149.0
1645753107.07,121.06,13.838,1667.0,1675.0,1.218,121.0,147.0
1645753107.17,121.06,13.943,1680.0,1688.0,1.224,122.0,148.0
1645753107.27,121.07,13.833,1667.0,1675.0,1.227,122.0,149.0
1645753107.37,121.05,13.984,1684.0,1693.0,1.233,123.0,149.0
1645753107.47,121.05,13.833,1666.0,1674.0,1.226,122.0,148.0
1645753107.57,121.05,13.934,1678.0,1687.0,1.233,123.0,149.0
1645753107.67,121.06,13.816,1665.0,1672.0,1.224,122.0,148.0
1645753107.77,121.05,13.938,1679.0,1687.0,1.227,122.0,149.0
