TS,V,I1,W1,VA1,I2,W2,VA2
1645753041.04,120.97,13.959,1680.0,1689.0,0.812,57.0,98.0
1645753041.14,120.97,13.96,1680.0,1689.0,0.817,58.0,99.0
1645753041.24,120.96,13.972,1682.0,1690.0,0.804,57.0,97.0
1645753041.34,120.97,14.025,1688.0,1697.0,0.82,59.0,99.0
1645753041.44,121.15,13.972,1684.0,1693.0,0.823,59.0,100.0
1645753041.54,120.97,14.023,1688.0,1696.0,0.82,58.0,99.0
1645753041.64,120.97,13.929,1677.0,1685.0,0.812,58.0,98.0
1645753041.74,120.97,14.019,1687.0,1696.0,0.821,58.0,99.0
1645753041.84,120.97,13.93,1677.0,1685.0,0.81,57.0,98.0
1645753041.94,120.98,14.016,1687.0,1696.0,0.816,58.0,99.0
1645753042.04,120.98,13.912,1675.0,1683.0,0.804,57.0,97.0
1645753042.14,120.99,13.926,1677.0,1685.0,0.825,59.0,100.0
1645753042.24,120.97,14.003,1686.0,1694.0,0.88,67.0,106.0
1645753042.34,120.99,14.018,1688.0,1696.0,1.114,104.0,135.0
1645753042.44,121.02,13.949,1680.0,1688.0,1.199,118.0,145.0
1645753042.54,121.0,13.957,1680.0,1689.0,1.234,122.0,149.0
1645753042.64,121.0,13.955,1680.0,1689.0,1.225,122.0,148.0
1645753042.74,120.99,13.952,1680.0,1688.0,1.232,123.0,149.0
1645753042.84,120.96,13.983,1683.0,1691.0,1.226,123.0,148.0
1645753042.94,121.11,14.011,1688.0,1697.0,1.239,124.0,150.0
1645753043.04,120.93,13.946,1678.0,1687.0,1.225,122.0,148.0
1645753043.14,120.93,13.966,1680.0,1689.0,1.236,123.0,149.0
1645753043.24,120.94,13.99,1683.0,1692.0,1.227,122.0,148.0
1645753043.34,120.94,14.04,1689.0,1698.0,1.232,123.0,149.0
1645753043.44,120.95,13.984,1683.0,1691.0,1.228,122.0,148.0
1645753043.54,120.95,13.992,1684.0,1692.0,1.243,124.0,150.0
1645753043.64,120.96,13.971,1681.0,1690.0,1.235,123.0,149.0
1645753043.74,120.96,14.011,1686.0,1695.0,1.24,124.0,150.0
1645753043.84,120.97,13.948,1679.0,1687.0,1.236,123.0,150.0
1645753043.94,120.97,14.002,1685.0,1694.0,1.24,123.0,150.0
1645753044.04,120.99,13.957,1680.0,1689.0,1.234,123.0,149.0
1645753044.14,120.98,13.994,1684.0,1693.0,1.244,124.0,150.0
1645753044.24,120.98,13.941,1678.0,1687.0,1.235,123.0,149.0
1645753044.34,121.15,14.046,1693.0,1702.0,1.253,125.0,152.0
1645753044.44,120.98,14.0,1685.0,1694.0,1.244,124.0,151.0
1645753044.54,121.0,13.982,1683.0,1692.0,1.258,125.0,152.0
1645753044.64,121.02,13.969,1682.0,1691.0,1.237,123.0,150.0
1645753044.74,121.02,13.962,1681.0,1690.0,1.256,125.0,152.0
1645753044.84,121.02,13.955,1681.0,1689.0,1.245,124.0,151.0
1645753044.94,121.01,14.059,1693.0,1701.0,1.254,125.0,152.0
1645753045.04,120.99,14.277,1719.0,1727.0,1.242,124.0,150.0
1645753045.14,121.0,14.041,1690.0,1699.0,1.25,125.0,151.0
1645753045.24,121.01,13.966,1682.0,1690.0,1.24,124.0,150.0
1645753045.34,121.01,14.037,1690.0,1699.0,1.243,124.0,150.0
1645753045.44,121.02,13.976,1683.0,1691.0,1.231,123.0,149.0
1645753045.54,121.01,13.96,1681.0,1689.0,1.241,124.0,150.0
1645753045.64,121.02,13.938,1678.0,1687.0,1.227,123.0,149.0
1645753045.74,121.18,14.004,1689.0,1697.0,1.235,124.0,150.0
1645753045.84,121.03,13.916,1676.0,1684.0,1.222,122.0,148.0
1645753045.94,121.03,13.947,1680.0,1688.0,1.237,123.0,150.0
1645753046.04,121.02,13.952,1680.0,1688.0,1.228,122.0,149.0
1645753046.14,121.02,13.994,1685.0,1694.0,1.235,123.0,149.0
1645753046.24,121.01,13.946,1679.0,1688.0,1.224,122.0,148.0
1645753046.34,121.01,14.027,1689.0,1697.0,1.232,123.0,149.0
1645753046.44,121.02,13.945,1679.0,1688.0,1.228,123.0,149.0
1645753046.54,121.0,13.991,1685.0,1693.0,1.233,123.0,149.0
1645753046.64,121.03,13.96,1681.0,1690.0,1.221,122.0,148.0
1645753046.74,121.01,14.028,1689.0,1698.0,1.235,123.0,149.0
1645753046.84,121.03,13.894,1673.0,1682.0,1.225,122.0,148.0
1645753046.94,121.2,14.024,1691.0,1700.0,1.236,124.0,150.0
1645753047.04,121.04,13.93,1678.0,1686.0,1.223,122.0,148.0
1645753047.14,121.04,13.995,1686.0,1694.0,1.24,123.0,150.0
1645753047.24,121.04,13.927,1677.0,1686.0,1.223,122.0,148.0
1645753047.34,121.01,14.05,1692.0,1700.0,1.235,123.0,149.0
1645753047.44,121.01,13.94,1678.0,1687.0,1.216,121.0,147.0
1645753047.54,120.98,13.972,1682.0,1690.0,1.238,123.0,150.0
1645753047.64,120.99,13.922,1676.0,1684.0,1.223,122.0,148.0
1645753047.74,120.97,13.99,1684.0,1692.0,1.23,123.0,149.0
1645753047.84,120.99,13.941,1678.0,1687.0,1.223,122.0,148.0
1645753047.94,120.98,14.023,1688.0,1697.0,1.235,123.0,149.0
1645753048.04,121.0,13.948,1679.0,1688.0,1.222,122.0,148.0
1645753048.14,120.99,13.999,1685.0,1694.0,1.251,124.0,151.0
1645753048.24,121.17,13.917,1678.0,1686.0,1.221,122.0,148.0
1645753048.34,120.98,14.022,1688.0,1696.0,1.233,123.0,149.0
1645753048.44,120.99,13.863,1669.0,1677.0,1.225,122.0,148.0
1645753048.54,120.98,13.93,1677.0,1685.0,1.233,123.0,149.0
1645753048.64,121.0,13.878,1671.0,1679.0,1.224,122.0,148.0
1645753048.74,121.01,13.927,1677.0,1685.0,1.235,123.0,149.0
1645753048.84,121.01,13.894,1673.0,1681.0,1.222,122.0,148.0
1645753048.94,121.03,13.93,1677.0,1686.0,1.241,124.0,150.0
1645753049.04,121.04,13.906,1675.0,1683.0,1.224,122.0,148.0
1645753049.14,121.03,13.903,1674.0,1683.0,1.227,122.0,149.0
1645753049.24,121.04,13.901,1674.0,1683.0,1.228,122.0,149.0
1645753049.34,121.02,13.989,1685.0,1693.0,1.232,123.0,149.0
1645753049.44,121.02,13.852,1668.0,1676.0,1.225,122.0,148.0
1645753049.54,121.2,13.937,1681.0,1689.0,1.232,123.0,149.0
1645753049.64,121.03,13.845,1668.0,1676.0,1.222,122.0,148.0
1645753049.74,121.01,13.942,1679.0,1687.0,1.232,123.0,149.0
1645753049.84,121.02,13.843,1667.0,1675.0,1.221,122.0,148.0
1645753049.94,121.02,14.008,1687.0,1695.0,1.236,123.0,150.0
1645753050.04,120.99,14.228,1713.0,1721.0,1.232,123.0,149.0
1645753050.14,121.01,13.907,1675.0,1683.0,1.249,125.0,151.0
1645753050.24,121.03,13.876,1671.0,1679.0,1.238,124.0,150.0
1645753050.34,121.02,14.009,1687.0,1695.0,1.25,125.0,151.0
1645753050.44,121.02,13.859,1669.0,1677.0,1.234,122.0,149.0
1645753050.54,121.01,13.921,1676.0,1685.0,1.244,124.0,150.0
1645753050.64,121.01,13.844,1667.0,1675.0,1.231,123.0,149.0
1645753050.74,121.2,13.922,1679.0,1687.0,1.249,125.0,151.0
1645753050.84,121.03,13.861,1670.0,1678.0,1.24,124.0,150.0
1645753050.94,121.04,13.905,1675.0,1683.0,1.252,124.0,152.0
1645753051.04,121.03,13.863,1670.0,1678.0,1.241,124.0,150.0
1645753051.14,121.03,13.951,1680.0,1688.0,1.245,124.0,151.0
1645753051.24,121.05,13.831,1666.0,1674.0,1.236,123.0,150.0
1645753051.34,121.03,13.984,1684.0,1692.0,1.242,124.0,150.0
1645753051.44,121.04,13.849,1668.0,1676.0,1.232,123.0,149.0
1645753051.54,121.04,13.919,1677.0,1685.0,1.24,123.0,150.0
1645753051.64,121.05,13.851,1669.0,1677.0,1.221,121.0,148.0
1645753051.74,121.03,13.935,1678.0,1687.0,1.239,123.0,150.0
1645753051.84,121.05,13.835,1667.0,1675.0,1.222,122.0,148.0
1645753051.94,121.22,13.953,1683.0,1691.0,1.235,123.0,150.0
1645753052.04,121.05,13.844,1668.0,1676.0,1.226,122.0,148.0
1645753052.14,121.05,13.925,1678.0,1686.0,1.231,123.0,149.0
1645753052.24,121.06,13.833,1667.0,1675.0,1.232,123.0,149.0
1645753052.34,121.05,13.981,1684.0,1692.0,1.233,123.0,149.0
1645753052.44,121.06,13.841,1668.0,1676.0,1.222,122.0,148.0
1645753052.54,121.05,13.922,1677.0,1685.0,1.234,123.0,149.0
1645753052.64,121.05,13.835,1667.0,1675.0,1.222,122.0,148.0
1645753052.74,121.05,13.864,1670.0,1678.0,1.229,122.0,149.0
1645753052.84,121.05,13.904,1675.0,1683.0,1.221,121.0,148.0
1645753052.94,121.04,13.912,1676.0,1684.0,1.236,123.0,150.0
1645753053.04,121.05,13.846,1668.0,1676.0,1.222,122.0,148.0
1645753053.14,121.21,13.908,1678.0,1686.0,1.236,124.0,150.0
1645753053.24,121.05,13.879,1672.0,1680.0,1.224,122.0,148.0
1645753053.34,121.05,13.968,1683.0,1691.0,1.229,122.0,149.0
1645753053.44,121.06,13.859,1670.0,1678.0,1.224,122.0,148.0
1645753053.55,121.04,13.934,1678.0,1687.0,1.231,123.0,149.0
1645753053.64,121.05,13.836,1667.0,1675.0,1.22,122.0,148.0
1645753053.74,121.03,13.899,1674.0,1682.0,1.233,123.0,149.0
1645753053.84,121.04,13.869,1671.0,1679.0,1.221,122.0,148.0
1645753053.94,121.04,13.953,1681.0,1689.0,1.23,122.0,149.0
1645753054.05,121.06,13.839,1667.0,1675.0,1.223,122.0,148.0
1645753054.14,121.06,13.922,1677.0,1685.0,1.234,123.0,149.0
1645753054.25,121.23,13.862,1672.0,1681.0,1.221,122.0,148.0
1645753054.34,121.05,13.968,1683.0,1691.0,1.227,122.0,149.0
1645753054.44,121.05,13.86,1670.0,1678.0,1.218,121.0,147.0
1645753054.54,121.05,13.88,1672.0,1680.0,1.232,123.0,149.0
1645753054.64,121.05,13.863,1670.0,1678.0,1.219,122.0,148.0
1645753054.75,121.05,13.921,1677.0,1685.0,1.236,123.0,150.0
1645753054.84,121.05,13.848,1668.0,1676.0,1.219,122.0,148.0
1645753054.95,121.06,14.007,1687.0,1696.0,1.23,123.0,149.0
1645753055.04,121.03,14.218,1713.0,1721.0,1.227,122.0,149.0
1645753055.14,121.06,13.91,1676.0,1684.0,1.234,123.0,149.0
1645753055.25,121.25,13.866,1673.0,1681.0,1.224,123.0,148.0
1645753055.34,121.08,13.958,1682.0,1690.0,1.232,123.0,149.0
1645753055.45,121.09,13.861,1670.0,1678.0,1.221,122.0,148.0
1645753055.54,121.09,13.92,1677.0,1686.0,1.233,123.0,149.0
1645753055.65,121.06,13.828,1666.0,1674.0,1.221,122.0,148.0
1645753055.75,121.07,13.926,1678.0,1686.0,1.231,123.0,149.0
1645753055.84,121.09,13.83,1667.0,1675.0,1.222,122.0,148.0
1645753055.95,121.08,13.926,1678.0,1686.0,1.239,123.0,150.0
1645753056.04,121.09,13.83,1667.0,1675.0,1.235,123.0,150.0
1645753056.15,121.08,13.897,1675.0,1683.0,1.245,124.0,151.0
1645753056.25,121.26,13.889,1676.0,1684.0,1.242,124.0,151.0
1645753056.35,121.08,13.977,1684.0,1692.0,1.25,125.0,151.0
1645753056.45,121.09,13.851,1669.0,1677.0,1.238,123.0,150.0
1645753056.54,121.08,13.924,1678.0,1686.0,1.248,124.0,151.0
1645753056.65,121.08,13.845,1668.0,1676.0,1.239,123.0,150.0
1645753056.75,121.08,13.902,1675.0,1683.0,1.243,124.0,151.0
1645753056.85,121.09,13.853,1669.0,1677.0,1.235,123.0,150.0
1645753056.95,121.09,13.948,1681.0,1689.0,1.243,124.0,151.0
1645753057.05,121.1,13.835,1667.0,1675.0,1.234,123.0,149.0
1645753057.15,121.1,13.93,1679.0,1687.0,1.244,124.0,151.0
1645753057.24,121.28,13.86,1673.0,1681.0,1.236,124.0,150.0
1645753057.35,121.09,13.975,1684.0,1692.0,1.248,124.0,151.0
1645753057.45,121.11,13.849,1669.0,1677.0,1.223,122.0,148.0
1645753057.55,121.1,13.898,1675.0,1683.0,1.232,123.0,149.0
1645753057.65,121.09,13.843,1668.0,1676.0,1.22,122.0,148.0
1645753057.75,121.06,13.905,1675.0,1683.0,1.226,122.0,148.0
1645753057.85,121.07,13.843,1668.0,1676.0,1.222,122.0,148.0
1645753057.95,121.08,13.877,1672.0,1680.0,1.228,122.0,149.0
1645753058.05,121.07,13.878,1672.0,1680.0,1.226,123.0,148.0
1645753058.15,121.24,13.936,1681.0,1690.0,1.229,123.0,149.0
1645753058.25,121.07,13.841,1668.0,1676.0,1.222,122.0,148.0
1645753058.35,121.07,13.977,1684.0,1692.0,1.23,122.0,149.0
1645753058.45,121.07,13.854,1669.0,1677.0,1.224,122.0,148.0
1645753058.55,121.07,13.895,1674.0,1682.0,1.23,123.0,149.0
1645753058.65,121.06,13.848,1668.0,1676.0,1.222,122.0,148.0
1645753058.75,121.06,13.882,1673.0,1681.0,1.227,122.0,149.0
1645753058.85,121.06,13.867,1671.0,1679.0,1.225,122.0,148.0
1645753058.95,121.06,13.898,1674.0,1683.0,1.233,123.0,149.0
1645753059.05,121.23,13.853,1671.0,1679.0,1.222,122.0,148.0
1645753059.15,121.05,13.877,1672.0,1680.0,1.229,122.0,149.0
1645753059.25,121.07,13.863,1670.0,1678.0,1.225,122.0,148.0
1645753059.35,121.07,13.989,1685.0,1694.0,1.229,122.0,149.0
1645753059.45,121.07,13.823,1665.0,1674.0,1.22,122.0,148.0
1645753059.55,121.06,13.932,1678.0,1687.0,1.234,123.0,149.0
1645753059.65,121.08,13.834,1667.0,1675.0,1.219,121.0,148.0
1645753059.75,121.04,13.923,1677.0,1685.0,1.23,123.0,149.0
1645753059.85,121.23,13.852,1671.0,1679.0,1.231,123.0,149.0
1645753059.95,121.03,14.013,1688.0,1696.0,1.227,122.0,148.0
1645753060.05,120.98,14.193,1709.0,1717.0,1.222,122.0,148.0
1645753060.15,120.99,13.982,1683.0,1692.0,1.236,123.0,150.0
1645753060.25,121.02,13.821,1665.0,1673.0,1.227,123.0,149.0
1645753060.35,121.0,13.963,1681.0,1689.0,1.23,123.0,149.0
1645753060.45,121.03,13.848,1668.0,1676.0,1.221,122.0,148.0
1645753060.55,121.03,13.913,1676.0,1684.0,1.231,122.0,149.0
1645753060.65,121.04,13.828,1666.0,1674.0,1.222,122.0,148.0
1645753060.75,121.2,13.922,1679.0,1687.0,1.232,123.0,149.0
1645753060.85,121.04,13.841,1667.0,1675.0,1.229,122.0,149.0
1645753060.95,121.04,13.922,1677.0,1685.0,1.241,123.0,150.0
1645753061.05,121.03,13.832,1666.0,1674.0,1.225,122.0,148.0
1645753061.15,121.02,13.915,1676.0,1684.0,1.236,123.0,150.0
1645753061.25,121.01,13.839,1667.0,1675.0,1.228,122.0,149.0
1645753061.35,121.0,13.959,1681.0,1689.0,1.233,122.0,149.0
1645753061.45,121.01,13.833,1666.0,1674.0,1.223,122.0,148.0
1645753061.55,121.18,13.928,1680.0,1688.0,1.235,124.0,150.0
1645753061.65,121.02,13.836,1666.0,1674.0,1.225,122.0,148.0
1645753061.75,121.01,13.928,1677.0,1685.0,1.229,122.0,149.0
1645753061.85,121.01,13.819,1664.0,1672.0,1.219,121.0,147.0
1645753061.95,120.99,13.921,1676.0,1684.0,1.23,123.0,149.0
1645753062.05,121.0,13.852,1668.0,1676.0,1.228,123.0,149.0
1645753062.15,121.0,13.91,1675.0,1683.0,1.243,123.0,150.0
1645753062.25,121.01,13.864,1670.0,1678.0,1.236,123.0,150.0
1645753062.35,121.0,13.98,1683.0,1692.0,1.245,124.0,151.0
1645753062.45,121.18,13.878,1674.0,1682.0,1.241,124.0,150.0
1645753062.55,121.0,13.954,1680.0,1688.0,1.251,124.0,151.0
1645753062.65,121.02,13.819,1664.0,1672.0,1.237,123.0,150.0
1645753062.75,121.0,13.938,1678.0,1686.0,1.243,124.0,150.0
1645753062.85,121.0,13.845,1667.0,1675.0,1.24,124.0,150.0
1645753062.95,121.01,13.938,1678.0,1687.0,1.254,125.0,152.0
1645753063.05,121.0,13.844,1667.0,1675.0,1.238,123.0,150.0
1645753063.15,121.0,13.902,1674.0,1682.0,1.242,124.0,150.0
1645753063.25,121.17,13.875,1673.0,1681.0,1.252,126.0,152.0
1645753063.35,120.99,13.984,1684.0,1692.0,1.246,124.0,151.0
1645753063.45,121.01,13.829,1665.0,1673.0,1.23,122.0,149.0
1645753063.55,120.99,13.897,1673.0,1681.0,1.232,123.0,149.0
1645753063.65,120.99,13.855,1668.0,1676.0,1.226,122.0,148.0
1645753063.75,121.0,13.905,1674.0,1682.0,1.236,123.0,150.0
1645753063.85,120.98,13.846,1667.0,1675.0,1.223,122.0,148.0
1645753063.95,120.99,13.93,1677.0,1685.0,1.234,123.0,149.0
1645753064.05,121.17,13.868,1672.0,1680.0,1.225,123.0,148.0
1645753064.15,121.0,13.919,1676.0,1684.0,1.227,122.0,149.0
1645753064.25,121.01,13.843,1667.0,1675.0,1.217,121.0,147.0
1645753064.35,121.0,13.977,1683.0,1691.0,1.234,123.0,149.0
1645753064.45,121.01,13.859,1669.0,1677.0,1.226,122.0,148.0
1645753064.55,121.01,13.911,1675.0,1683.0,1.234,123.0,149.0
1645753064.65,121.02,13.833,1666.0,1674.0,1.217,121.0,147.0
1645753064.75,121.01,13.929,1677.0,1686.0,1.227,122.0,148.0
1645753064.85,121.18,13.855,1671.0,1679.0,1.223,122.0,148.0
1645753064.95,120.99,14.015,1687.0,1696.0,1.227,122.0,148.0
1645753065.05,120.98,14.212,1711.0,1719.0,1.223,122.0,148.0
1645753065.15,121.0,13.929,1677.0,1685.0,1.233,123.0,149.0
1645753065.25,120.99,13.818,1664.0,1672.0,1.218,122.0,147.0
1645753065.35,120.99,13.953,1680.0,1688.0,1.226,122.0,148.0
1645753065.45,121.01,13.887,1672.0,1680.0,1.222,122.0,148.0
1645753065.55,121.0,13.919,1676.0,1684.0,1.228,122.0,149.0
1645753065.65,121.18,13.853,1671.0,1679.0,1.228,123.0,149.0
1645753065.75,121.0,13.927,1677.0,1685.0,1.236,123.0,150.0
1645753065.85,121.02,13.841,1667.0,1675.0,1.228,122.0,149.0
1645753065.95,121.01,13.939,1679.0,1687.0,1.233,123.0,149.0
1645753066.05,121.02,13.833,1666.0,1674.0,1.227,123.0,149.0
1645753066.15,121.01,13.92,1676.0,1684.0,1.233,123.0,149.0
1645753066.25,121.0,13.83,1666.0,1674.0,1.219,121.0,148.0
1645753066.35,120.99,13.994,1685.0,1693.0,1.238,123.0,150.0
1645753066.45,121.17,13.829,1668.0,1676.0,1.222,122.0,148.0
1645753066.55,120.99,13.901,1674.0,1682.0,1.227,122.0,148.0
1645753066.65,120.99,13.826,1665.0,1673.0,1.223,122.0,148.0
1645753066.75,120.98,13.895,1673.0,1681.0,1.232,123.0,149.0
1645753066.85,120.99,13.833,1666.0,1674.0,1.225,122.0,148.0
